Date,Time,CO2
2024-11-14,09:26:03,507.00
2024-11-14,09:31:10,520.00
2024-11-14,09:36:03,490.00
2024-11-14,09:41:07,453.00
2024-11-14,09:46:04,455.00
2024-11-14,09:51:10,490.00
2024-11-14,09:56:03,485.00
2024-11-14,10:01:08,463.00
2024-11-14,10:06:03,481.00
2024-11-14,10:11:09,489.00
2024-11-14,10:16:04,482.00
2024-11-14,10:21:08,463.00
2024-11-14,10:26:04,462.00
2024-11-14,10:31:11,462.00
2024-11-14,10:36:05,464.00
2024-11-14,10:41:08,472.00
2024-11-14,10:46:05,478.00
2024-11-14,10:51:11,511.00
2024-11-14,10:56:04,491.00
2024-11-14,11:01:08,466.00
2024-11-14,11:06:05,466.00
2024-11-14,11:11:10,458.00
2024-11-14,11:16:04,474.00
2024-11-14,11:21:09,491.00
2024-11-14,11:26:04,493.00
2024-11-14,11:31:10,476.00
2024-11-14,11:36:05,470.00
2024-11-14,11:41:08,485.00
2024-11-14,11:46:04,487.00
2024-11-14,11:51:11,454.00
2024-11-14,11:56:04,455.00
2024-11-14,12:01:08,459.00
2024-11-14,12:06:05,456.00
2024-11-14,12:11:11,475.00
2024-11-14,12:16:04,486.00
2024-11-14,12:21:08,477.00
2024-11-14,12:26:04,470.00
2024-11-14,12:31:10,460.00
2024-11-14,12:36:04,458.00
2024-11-14,12:41:09,470.00
2024-11-14,12:46:04,453.00
2024-11-14,12:51:10,432.00
2024-11-14,12:56:05,466.00
2024-11-14,13:01:08,481.00
2024-11-14,13:06:04,448.00
2024-11-14,13:11:11,448.00
2024-11-14,13:16:04,449.00
2024-11-14,13:21:08,467.00
2024-11-14,13:26:05,477.00
2024-11-14,13:31:10,463.00
2024-11-14,13:36:04,455.00
2024-11-14,13:41:08,455.00
2024-11-14,13:46:04,490.00
2024-11-14,13:51:10,503.00
2024-11-14,13:56:04,484.00
2024-11-14,14:01:08,476.00
2024-11-14,14:06:05,476.00
2024-11-14,14:11:11,475.00
2024-11-14,14:16:05,482.00
2024-11-14,14:21:09,499.00
2024-11-14,14:26:05,500.00
2024-11-14,14:31:12,501.00
2024-11-14,14:36:05,506.00
2024-11-14,14:41:09,486.00
2024-11-14,14:46:06,474.00
2024-11-14,14:51:12,465.00
2024-11-14,14:56:05,464.00
2024-11-14,15:01:10,477.00
2024-11-14,15:06:05,469.00
2024-11-14,15:11:11,466.00
2024-11-14,15:16:05,459.00
2024-11-14,15:21:09,494.00
2024-11-14,15:26:05,524.00
2024-11-14,15:31:12,500.00
2024-11-14,15:36:05,500.00
2024-11-14,15:41:09,494.00
2024-11-14,15:46:05,505.00
2024-11-14,15:51:11,503.00
2024-11-14,15:56:05,476.00
2024-11-14,16:01:09,464.00
2024-11-14,16:06:05,484.00
2024-11-14,16:11:11,497.00
2024-11-14,16:16:05,491.00
2024-11-14,16:21:09,533.00
2024-11-14,16:26:05,522.00
2024-11-14,16:31:11,499.00
2024-11-14,16:36:04,483.00
2024-11-14,16:41:09,473.00
2024-11-14,16:46:05,493.00
2024-11-14,16:51:12,492.00
2024-11-14,16:56:05,490.00
2024-11-14,17:01:09,482.00
2024-11-14,17:06:04,483.00
2024-11-14,17:11:11,505.00
2024-11-14,17:16:05,505.00
2024-11-14,17:21:09,505.00
2024-11-14,17:26:06,518.00
2024-11-14,17:31:12,485.00
